usp_category,usp_class,usp_drug,drug_name,drug_id
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,pentazocine lactate,D02111
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,pentazocine hydrochloride,D02227
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,tapentadol,D06007
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,tapentadol hydrochloride,D10199
Analgesics,"Opioid Analgesics, Short-acting",tramadol,tramadol,D08623
Analgesics,"Opioid Analgesics, Short-acting",tramadol,tramadol hydrochloride,D01355
Anesthetics,Local Anesthetics,lidocaine,lidocaine,D00358
Anesthetics,Local Anesthetics,lidocaine,lidocaine hydrochloride,D02086
Anesthetics,Local Anesthetics,lidocaine,lidocaine hydrochloride monohydrate,D08127
Anesthetics,Local Anesthetics,lidocaine and prilocaine,lidocaine - prilocaine mixt,D02740
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,acamprosate,D07058
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,acamprosate calcium,D02780
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,disulfiram,disulfiram,D00131
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,naltrexone,D05113
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,naltrexone hydrochloride,D02095
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,buprenorphine,D07132
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,buprenorphine hydrochloride,D00836
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine/naloxone,buprenorphine - naloxone mixt,D10250
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,naltrexone,D05113
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,naltrexone hydrochloride,D02095
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,naloxone,D08249
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,naloxone hydrochloride,D01340
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,bupropion,D07591
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,bupropion hydrochloride,D00817
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,bupropion hydrobromide,D07938
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,nicotine,D03365
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,nicotine bitartrate,D05156
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,nicotine polacrilex,D05157
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,varenicline,D08669
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,varenicline tartrate,D06282
Antibacterials,Aminoglycosides,amikacin,amikacin,D02543
Antibacterials,Aminoglycosides,amikacin,amikacin sulfate,D00865
Antibacterials,Aminoglycosides,gentamicin,gentamicin,D08013
Antibacterials,Aminoglycosides,gentamicin,gentamicin sulfate,D01063
Antibacterials,Aminoglycosides,kanamycin,kanamycin sulfate,D00866
Antibacterials,Aminoglycosides,kanamycin,kanamycin sulfate,D03262
Antibacterials,Aminoglycosides,neomycin,neomycin,D08260
Antibacterials,Aminoglycosides,neomycin,neomycin sulfate,D01618
Antibacterials,Aminoglycosides,neomycin,neomycin palmitate,D05141
Antibacterials,Aminoglycosides,neomycin,neomycin undecylenate,D05142
Antibacterials,Aminoglycosides,paromomycin,paromomycin,D07467
Antibacterials,Aminoglycosides,paromomycin,paromomycin sulfate,D00868
Antibacterials,Aminoglycosides,streptomycin,streptomycin,D08531
Antibacterials,Aminoglycosides,streptomycin,streptomycin sulfate,D01350
Antibacterials,Aminoglycosides,tobramycin,tobramycin,D00063
Antibacterials,Aminoglycosides,tobramycin,tobramycin sulfate,D02542
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,cefadroxil,D00257
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,cefadroxil,D02353
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,cefazolin,D02299
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,cefazolin sodium,D00905
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,cefazolin sodium hydrate,D02226
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,cefalexin,D00263
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,cephalexin,D00906
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,cephalexin hydrochloride,D03438
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,cefaclor,D00256
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,cefaclor,D02352
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,cefoxitin,D02345
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,cefoxitin sodium,D00913
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,cefprozil,D07651
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,cefprozil,D00261
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime,D00262
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime axetil,D00914
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime sodium,D00915
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime pivoxetil,D03431
Antibacterials,"Beta-lactam, Cephalosporins",cefdinir,cefdinir,D00917
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,cefditoren,D07639
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,cefditoren pivoxil,D01628
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,cefixime,D00258
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,cefixime hydrate,D07640
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,cefotaxime,D07647
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,cefotaxime sodium,D00919
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,cefpodoxime,D07650
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,cefpodoxime proxetil,D00920
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,ceftazidime,D07654
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,ceftazidime,D00921
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,ceftibuten,D00922
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,ceftibuten hydrate,D02121
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,ceftriaxone,D07659
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,ceftriaxone sodium,D00924
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,cefepime,D02376
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,cefepime hydrochloride,D01157
Antibacterials,"Beta-lactam, Cephalosporins",ceftaroline,ceftaroline fosamil,D08884
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,amoxicillin,D07452
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,amoxicillin,D00229
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,amoxicillin sodium,D02925
Antibacterials,"Beta-lactam, Penicillins",amoxicillin and clavulanate potassium,amoxicillin - potassium clavulanate combination,D00230
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin,D00204
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin hydrate,D01251
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin sodium,D02119
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin benzathine,D07570
Antibacterials,"Beta-lactam, Penicillins",ampicillin sodium and sulbactam sodium,ampicillin sodium and sulbactam sodium for injection,D02065
Antibacterials,"Beta-lactam, Penicillins",piperacillin,piperacillin,D08380
Antibacterials,"Beta-lactam, Penicillins",piperacillin,piperacillin sodium,D00466
Antibacterials,"Beta-lactam, Penicillins",piperacillin,piperacillin,D02251
Antibacterials,"Beta-lactam, Penicillins",penicillin g,benzylpenicillin,D02336
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g potassium,D01053
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g benzathine,D02157
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g procaine,D02461
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g sodium,D05408
Antibacterials,"Beta-lactam, Penicillins",penicillin g,clemizole penicillin,D07712
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v,D05411
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v potassium,D00497
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v benzathine,D02405
Antibacterials,"Beta-lactam, Penicillins",penicillin v,phenoxymethylpenicillin benzathine,D02506
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v hydrabamine,D05413
Antibacterials,"Beta-lactam, Penicillins",penicillin v,phenoxymethylpenicillin calcium,D08360
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,dicloxacillin,D02348
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,dicloxacillin sodium,D02137
Antibacterials,"Beta-lactam, Penicillins",nafcillin,nafcillin,D08242
Antibacterials,"Beta-lactam, Penicillins",nafcillin,nafcillin sodium,D00928
Antibacterials,"Beta-lactam, Penicillins",oxacillin,oxacillin,D08307
Antibacterials,"Beta-lactam, Penicillins",oxacillin,oxacillin sodium,D00929
Antibacterials,"Beta-lactam, Other",aztreonam,aztreonam,D00240
Antibacterials,"Beta-lactam, Other",aztreonam,aztreonam lysine,D06558
Antibacterials,"Beta-lactam, Other",doripenem,doripenem,D03895
Antibacterials,"Beta-lactam, Other",doripenem,doripenem hydrate,D01836
Antibacterials,"Beta-lactam, Other",ertapenem,ertapenem,D07908
Antibacterials,"Beta-lactam, Other",ertapenem,ertapenem sodium,D04049
Antibacterials,"Beta-lactam, Other",imipenem and cilastatin sodium,imipenem hydrate - cilastatin sodium,D00344
Antibacterials,"Beta-lactam, Other",meropenem,meropenem,D08185
Antibacterials,"Beta-lactam, Other",meropenem,meropenem,D02222
Antibacterials,Macrolides,azithromycin,azithromycin,D07486
Antibacterials,Macrolides,azithromycin,azithromycin hydrate,D02134
Antibacterials,Macrolides,azithromycin,azithromycin,D06390
Antibacterials,Macrolides,clarithromycin,clarithromycin,D00276
Antibacterials,Macrolides,clarithromycin,clarithromycin lactobionate,D07710
Antibacterials,Macrolides,erythromycin,erythromycin,D00140
Antibacterials,Macrolides,erythromycin,erythromycin estolate,D00851
Antibacterials,Macrolides,erythromycin,erythromycin ethylsuccinate,D01361
Antibacterials,Macrolides,erythromycin,erythromycin lactobionate,D02009
Antibacterials,Macrolides,erythromycin,erythromycin stearate,D02184
Antibacterials,Macrolides,erythromycin,erythromycin acistrate,D02523
Antibacterials,Macrolides,erythromycin,erythromycin gluceptate,D02524
Antibacterials,Macrolides,erythromycin,erythromycin propionate,D02525
Antibacterials,Macrolides,erythromycin,erythromycin salnacedin,D04054
Antibacterials,Macrolides,erythromycin,erythromycin thiocyanate,D07909
Antibacterials,Macrolides,erythromycin,erythromycin stinoprate,D07910
Antibacterials,Macrolides,fidaxomicin,fidaxomicin,D09394
Antibacterials,Macrolides,telithromycin,telithromycin,D01078
Antibacterials,Quinolones,besifloxacin,besifloxacin hydrochloride,D08872
Antibacterials,Quinolones,ciprofloxacin,ciprofloxacin,D00186
Antibacterials,Quinolones,ciprofloxacin,ciprofloxacin hydrochloride,D02216
Antibacterials,Quinolones,ciprofloxacin,ciprofloxacin lactate,D07702
Antibacterials,Quinolones,gatifloxacin,gatifloxacin,D08011
Antibacterials,Quinolones,gatifloxacin,gatifloxacin,D00589
Antibacterials,Quinolones,gemifloxacin,gemifloxacin,D08012
Antibacterials,Quinolones,gemifloxacin,gemifloxacin mesylate,D02471
Antibacterials,Quinolones,levofloxacin,levofloxacin,D08120
Antibacterials,Quinolones,levofloxacin,levofloxacin,D00588
Antibacterials,Quinolones,moxifloxacin,moxifloxacin,D08237
Antibacterials,Quinolones,moxifloxacin,moxifloxacin hydrochloride,D00874
Antibacterials,Quinolones,norfloxacin,norfloxacin,D00210
Antibacterials,Quinolones,norfloxacin,norfloxacin nicotinate,D08287
Antibacterials,Quinolones,ofloxacin,ofloxacin,D00453
Antibacterials,Quinolones,ofloxacin,ofloxacin hydrochloride,D08291
Antibacterials,Sulfonamides,sulfacetamide,sulfacetamide,D05947
Antibacterials,Sulfonamides,sulfacetamide,sulfacetamide sodium,D00871
Antibacterials,Sulfonamides,sulfadiazine,sulfadiazine,D00587
Antibacterials,Sulfonamides,sulfadiazine,sulfadiazine sodium,D05949
Antibacterials,Sulfonamides,sulfadiazine,"sulfadiazine, silver",D00433
Antibacterials,Sulfonamides,sulfamethoxazole and trimethoprim,co-trimoxazole,D00285
Antibacterials,Tetracyclines,demeclocycline,demeclocycline,D03680
Antibacterials,Tetracyclines,demeclocycline,demeclocycline hydrochloride,D00290
Antibacterials,Tetracyclines,doxycycline,doxycycline,D07876
Antibacterials,Tetracyclines,doxycycline,doxycycline,D00307
Antibacterials,Tetracyclines,doxycycline,doxycycline hyclate,D02129
Antibacterials,Tetracyclines,doxycycline,doxycycline calcium,D03903
Antibacterials,Tetracyclines,doxycycline,doxycycline fosfatex,D03904
Antibacterials,Tetracyclines,doxycycline,doxycycline hydrochloride,D07877
Antibacterials,Tetracyclines,minocycline,minocycline,D05045
Antibacterials,Tetracyclines,minocycline,minocycline hydrochloride,D00850
Antibacterials,Tetracyclines,tetracycline,tetracycline,D00201
Antibacterials,Tetracyclines,tetracycline,tetracycline hydrochloride,D02122
Antibacterials,Tetracyclines,tetracycline,tetracycline metaphosphate,D06098
Antibacterials,"Antibacterials, Other",trimethoprim,trimethoprim,D00145
Antibacterials,"Antibacterials, Other",trimethoprim,trimethoprim sulfate,D06236
Antibacterials,"Antibacterials, Other",trimethoprim,trimethoprim lactate,D08644
Antibacterials,"Antibacterials, Other",vancomycin,vancomycin,D00212
Antibacterials,"Antibacterials, Other",vancomycin,vancomycin hydrochloride,D00926
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin,D00277
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin phosphate,D01073
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin palmitate hydrochloride,D01990
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin hydrochloride,D02132
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin phosphate hydrate,D10531
Antibacterials,"Antibacterials, Other",lincomycin,lincomycin,D00223
Antibacterials,"Antibacterials, Other",lincomycin,lincomycin hydrochloride hydrate,D02346
Antibacterials,"Antibacterials, Other",nitrofurantoin,nitrofurantoin,D00439
Antibacterials,"Antibacterials, Other",linezolid,linezolid,D00947
Antibacterials,"Antibacterials, Other",acetic acid,"acetic acid, glacial",D00010
Antibacterials,"Antibacterials, Other",bacitracin,bacitracin,D00128
Antibacterials,"Antibacterials, Other",bacitracin,bacitracin methylene disalicylate,D03047
Antibacterials,"Antibacterials, Other",bacitracin,bacitracin zinc,D03048
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol,D00104
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol palmitate,D01072
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol sodium succinate,D02185
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol stearate,D07674
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol succinate,D07675
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol pantothenate complex,D03461
Antibacterials,"Antibacterials, Other",daptomycin,daptomycin,D01080
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin,D04253
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin tromethamine,D00925
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin calcium hydrate,D02187
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin sodium,D02188
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin calcium,D07995
Antibacterials,"Antibacterials, Other",gramicidin,gramicidin,D04369
Antibacterials,"Antibacterials, Other",gramicidin,gramicidin s hydrochloride,D02230
Antibacterials,"Antibacterials, Other",mafenide,mafenide,D02351
Antibacterials,"Antibacterials, Other",mafenide,mafenide acetate,D01166
Antibacterials,"Antibacterials, Other",mafenide,homosulfamine,D04815
Antibacterials,"Antibacterials, Other",methenamine,methenamine,D00393
Antibacterials,"Antibacterials, Other",methenamine,methenamine hippurate,D00855
Antibacterials,"Antibacterials, Other",methenamine,methenamine mandelate,D00856
Antibacterials,"Antibacterials, Other",methenamine,methenamine sulfosalicylate,D08199
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole,D00409
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole hydrochloride,D05016
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole phosphate,D05017
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole benzoate,D08214
Antibacterials,"Antibacterials, Other",mupirocin,mupirocin,D01076
Antibacterials,"Antibacterials, Other",mupirocin,mupirocin calcium,D02195
Antibacterials,"Antibacterials, Other",polymyxin b,polymyxin b,D08401
Antibacterials,"Antibacterials, Other",polymyxin b,polymyxin b sulfate,D01066
Antibacterials,"Antibacterials, Other",retapamulin,retapamulin,D05720
Antibacterials,"Antibacterials, Other",rifaximin,rifaximin,D02554
Antibacterials,"Antibacterials, Other",telavancin,telavancin hydrochloride,D06057
Antibacterials,"Antibacterials, Other",tinidazole,tinidazole,D01426
Antibacterials,"Antibacterials, Other",tigecycline,tigecycline,D01079
Anticonvulsants,Calcium Channel Modifying Agents,ethosuximide,ethosuximide,D00539
Anticonvulsants,Calcium Channel Modifying Agents,methsuximide,methsuximide,D00404
Anticonvulsants,Calcium Channel Modifying Agents,pregabalin,pregabalin,D02716
Anticonvulsants,Calcium Channel Modifying Agents,zonisamide,zonisamide,D00538
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clobazam,clobazam,D01253
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clonazepam,clonazepam,D00280
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clorazepate,clorazepate dipotassium,D00694
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clorazepate,clorazepate monopotassium,D03562
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,diazepam,diazepam,D00293
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,lorazepam,lorazepam,D00365
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,mephobarbital,mephobarbital,D00700
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,primidone,primidone,D00474
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,divalproex,divalproex sodium,D00304
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,gabapentin,gabapentin,D00332
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,gabapentin,gabapentin enacarbil,D09539
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,primidone,primidone,D00474
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,tiagabine,tiagabine,D08588
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,tiagabine,tiagabine hydrochloride,D02097
